 variables ="x","u","ue","error"
 zone T=           1
   0.0000000000000000        2.7305690969252110E-002   2.7305690969252110E-002   0.0000000000000000     
   9.8174770424681035E-002   4.1858913498285133E-002   4.1717144906706534E-002   1.4176859157859906E-004
  0.19634954084936207        5.4826920983653549E-002   5.4525432360640738E-002   3.0148862301281054E-004
  0.29452431127404310        6.5700047263387601E-002   6.5238338027170148E-002   4.6170923621745297E-004
  0.39269908169872414        7.4048626152888347E-002   7.3444170949396967E-002   6.0445520349138027E-004
  0.49087385212340517        7.9539961694036307E-002   7.8827585570003966E-002   7.1237612403234063E-004
  0.58904862254808621        8.1951575030934989E-002   8.1181700284175040E-002   7.6987474675994927E-004
  0.68722339297276724        8.1180200836345001E-002   8.0416047783647276E-002   7.6415305269772471E-004
  0.78539816339744828        7.7246170052946983E-002   7.6560051664633116E-002   6.8611838831386662E-004
  0.88357293382212931        7.0292994182750645E-002   6.9761895695518744E-002   5.3109848723190134E-004
  0.98174770424681035        6.0582152548789743E-002   6.0282829197747349E-002   2.9932335104239371E-004
   1.0799224746714913        4.8483270635201518E-002   4.8487127380906700E-002  -3.8567457051816301E-006
   1.1780972450961724        3.4460057511512147E-002   3.4828092450712132E-002  -3.6803493919998487E-004
   1.2762720155208536        1.9052536430927480E-002   1.9830633459455835E-002  -7.7809702852835519E-004
   1.3744467859455345        2.8562484412937676E-003   4.0710943455001466E-003  -1.2148459042063790E-003
   1.4726215563702154       -1.3500771488853064E-002  -1.1844894641057240E-002  -1.6558768477958237E-003
   1.5707963267948966       -2.9382357502493635E-002  -2.7305690969252099E-002  -2.0766665332415356E-003
   1.6689710972195777       -4.4168972303572286E-002  -4.1717144906706520E-002  -2.4518273968657661E-003
   1.7671458676442586       -5.7281902521176681E-002  -5.4525432360640724E-002  -2.7564701605359565E-003
   1.8653206380689396       -6.8205949200289676E-002  -6.5238338027170148E-002  -2.9676111731195276E-003
   1.9634954084936207       -7.6509729185819567E-002  -7.3444170949396967E-002  -3.0655582364225997E-003
   2.0616701789183018       -8.1862794485954654E-002  -7.8827585570003966E-002  -3.0352089159506879E-003
   2.1598449493429825       -8.4048899340836647E-002  -8.1181700284175040E-002  -2.8671990566616068E-003
   2.2580197197676637       -8.2974893996948865E-002  -8.0416047783647276E-002  -2.5588462133015882E-003
   2.3561944901923448       -7.8674894341622476E-002  -7.6560051664633103E-002  -2.1148426769893730E-003
   2.4543692606170260       -7.1309560977417794E-002  -6.9761895695518675E-002  -1.5476652818991188E-003
   2.5525440310417071       -6.1160512800348558E-002  -6.0282829197747308E-002  -8.7768360260125078E-004
   2.6507188014663878       -4.8620091146376512E-002  -4.8487127380906658E-002  -1.3296376546985400E-004
   2.7488935718910690       -3.4176873503828746E-002  -3.4828092450712014E-002   6.5121894688326826E-004
   2.8470683423157501       -1.8397503325191612E-002  -1.9830633459455772E-002   1.4331301342641600E-003
   2.9452431127404308       -1.9055478218981746E-003  -4.0710943455000851E-003   2.1655465236019105E-003
   3.0434178831651120        1.4641787182994030E-002   1.1844894641057230E-002   2.7968925419367997E-003
   3.1415926535897931        3.0578172147719539E-002   2.7305690969252158E-002   3.2724811784673805E-003
   3.2397674240144743        4.5252937837334833E-002   4.1717144906706638E-002   3.5357929306281954E-003
   3.3379421944391554        5.8055159348008305E-002   5.4525432360640773E-002   3.5297269873675319E-003
   3.4361169648638361        6.8436101997062362E-002   6.5238338027170176E-002   3.1977639698921867E-003
   3.5342917352885173        7.5929160467699486E-002   7.3444170949396967E-002   2.4849895183025189E-003
   3.6324665057131984        8.0166528012480240E-002   7.8827585570003980E-002   1.3389424424762597E-003
   3.7306412761378791        8.0891969637702912E-002   8.1181700284175040E-002  -2.8973064647212776E-004
   3.8288160465625602        7.7969236391372931E-002   8.0416047783647276E-002  -2.4468113922743451E-003
   3.9269908169872414        7.1385840308554827E-002   7.6560051664633103E-002  -5.1742113560782760E-003
   4.0251655874119221        6.1252103408734521E-002   6.9761895695518716E-002  -8.5097922867841957E-003
   4.1233403578366037        4.7795590920523920E-002   6.0282829197747342E-002  -1.2487238277223423E-002
   4.2215151282612844        3.1351229878433022E-002   4.8487127380906693E-002  -1.7135897502473671E-002
   4.3196898986859651        1.2347590764265792E-002   3.4828092450712118E-002  -2.2480501686446327E-002
   4.4178646691106467       -8.7100361373564344E-003   1.9830633459455817E-002  -2.8540669596812250E-002
   4.5160394395353274       -3.1259013663579319E-002   4.0710943455001310E-003  -3.5330108009079451E-002
