x,y,f,u,ue,e
x,y,f,u,ue,e
0.5,0.21875,-12.5224214988,0.6349030684,0.6343932842,0.0005097843
0.53125,0.21875,7.2770861856,0.6270266939,0.6274322571,-0.0004055632
0.5625,0.21875,-12.281806681,0.622703584,0.6222035951,0.0004999889
0.59375,0.21875,-31.7224190354,0.6123834982,0.6109827723,0.0014007259
0.625,0.21875,-11.5692089202,0.5865739501,0.5861029708,0.0004709793
0.65625,0.21875,8.6954190012,0.5551153741,0.5555786773,-0.0004633032
0.6875,0.21875,-10.4120129487,0.5279026082,0.527478738,0.0004238701
0.71875,0.21875,-29.4191715222,0.4956058516,0.4942988902,0.0013069614
0.75,0.21875,-8.8546891587,0.4489442651,0.4485837932,0.0003604719
0.78125,0.21875,11.7950687019,0.3979590999,0.398548589,-0.000589489
0.8125,0.21875,-6.9570846301,0.3527332457,0.3524500247,0.000283221
0.84375,0.21875,-25.6422374339,0.3041103774,0.302957174,0.0011532034
0.875,0.21875,-4.7921232407,0.2429668855,0.2427717995,0.000195086
0.90625,0.21875,16.104141719,0.1794834895,0.1802483997,-0.0007649102
0.9375,0.21875,-2.4430032426,0.1238634441,0.1237639901,0.000099454
0.96875,0.21875,-20.9666207475,0.0670505259,0.0660876656,0.0009628604
1,0.21875,-4.02E-14,1E-16,1E-16,0
0,0.25,0,0,0,0
0.03125,0.25,-1.3680966232,0.0693642794,0.0693085846,5.56948314649E-05
0.0625,0.25,-2.723017728,0.1380605429,0.1379496896,0.0001108533
0.09375,0.25,-4.0517146836,0.2054272079,0.2052622638,0.0001649442
0.125,0.25,-5.3413914119,0.2708154966,0.2705980501,0.0002174466
0.15625,0.25,-6.5796276209,0.333595684,0.3333278292,0.0002678548
0.1875,0.25,-7.7544984192,0.3931631627,0.3928474792,0.0003156835
0.21875,0.25,-8.8546891587,0.4489442651,0.4485837932,0.0003604719
0.25,0.25,-9.8696044011,0.5004017888,0.5,0.0004017888
0.28125,0.25,-10.7894699578,0.5470401698,0.5466009335,0.0004392363
0.3125,0.25,-11.6054270208,0.5884102549,0.5879378012,0.0004724537
0.34375,0.25,-12.3096174773,0.6241136276,0.6236125065,0.0005011211
0.375,0.25,-12.8952595884,0.6538064449,0.6532814824,0.0005249624
0.40625,0.25,-13.3567133005,0.6772027487,0.6766590006,0.0005437481
0.4375,0.25,-13.6895345619,0.6940772198,0.6935199227,0.0005572971
0.46875,0.25,-13.890518122,0.7042673479,0.7037018688,0.0005654791
0.5,0.25,-13.9577283993,0.7076749964,0.7071067812,0.0005682152
0.53125,0.25,-13.890518122,0.7042673479,0.7037018688,0.0005654791
0.5625,0.25,-13.6895345619,0.6940772198,0.6935199227,0.0005572971
0.59375,0.25,-13.3567133005,0.6772027487,0.6766590006,0.0005437481
0.625,0.25,-12.8952595884,0.6538064449,0.6532814824,0.0005249624
0.65625,0.25,-12.3096174773,0.6241136276,0.6236125065,0.0005011211
0.6875,0.25,-11.6054270208,0.5884102549,0.5879378012,0.0004724537
0.71875,0.25,-10.7894699578,0.5470401698,0.5466009335,0.0004392363
0.75,0.25,-9.8696044011,0.5004017888,0.5,0.0004017888
0.78125,0.25,-8.8546891587,0.4489442651,0.4485837932,0.0003604719
0.8125,0.25,-7.7544984192,0.3931631627,0.3928474792,0.0003156835
0.84375,0.25,-6.5796276209,0.333595684,0.3333278292,0.0002678548
0.875,0.25,-5.3413914119,0.2708154966,0.2705980501,0.0002174466
0.90625,0.25,-4.0517146836,0.2054272079,0.2052622638,0.0001649442
0.9375,0.25,-2.723017728,0.1380605429,0.1379496896,0.0001108533
0.96875,0.25,-1.3680966232,0.0693642794,0.0693085846,5.56948314794E-05
1,0.25,-1.7E-15,1E-16,1E-16,0
0,0.28125,0,0,0,0
0.03125,0.28125,-21.2348145849,0.0806483026,0.0796745241,0.0009737785
0.0625,0.28125,-2.9768080642,0.1509280433,0.1508068583,0.000121185
0.09375,0.28125,15.3098667455,0.2197542645,0.22048684,-0.0007325755
0.125,0.28125,-5.8392190638,0.2960560065,0.2958182935,0.000237713
0.15625,0.28125,-26.9320700015,0.3695065674,0.3683008552,0.0012057121
0.1875,0.28125,-8.4772321495,0.4298067035,0.4294615977,0.0003451058
0.21875,0.28125,10.0592460822,0.485967566,0.4864863902,-0.0005188242
0.25,0.28125,-10.7894699578,0.5470401698,0.5466009335,0.0004392363
0.28125,0.28125,-31.534277504,0.6028444777,0.601451411,0.0013930667
0.3125,0.28125,-12.6870744865,0.6432511892,0.642734702,0.0005164873
0.34375,0.28125,6.2823119939,0.6774630401,0.6778281064,-0.0003650663
0.375,0.28125,-14.0971218576,0.7147424262,0.7141685363,0.0005738899
0.40625,0.28125,-34.3407927193,0.7451384519,0.7436311328,0.0015073192
0.4375,0.28125,-14.9654247414,0.7587665125,0.7581572743,0.0006092383
0.46875,0.28125,4.5540684576,0.7650872368,0.7653819467,-0.00029471
0.5,0.28125,-15.2586147452,0.7736316273,0.7730104534,0.0006211739
0.53125,0.28125,-34.9243491468,0.7747255223,0.7731944467,0.0015310756
0.5625,0.28125,-14.9654247414,0.7587665125,0.7581572743,0.0006092383
0.59375,0.28125,5.1376248851,0.7355001664,0.7358186328,-0.0003184664
0.625,0.28125,-14.0971218576,0.7147424262,0.7141685363,0.0005738899
0.65625,0.28125,-33.1961056105,0.6871013257,0.6856406064,0.0014607193
0.6875,0.28125,-12.6870744865,0.6432511892,0.642734702,0.0005164873
0.71875,0.28125,7.9441401003,0.5932061922,0.593638911,-0.0004327188
0.75,0.28125,-10.7894699578,0.5470401698,0.5466009335,0.0004392363
0.78125,0.28125,-29.4191715222,0.4956058516,0.4942988902,0.0013069614
0.8125,0.28125,-8.4772321495,0.4298067035,0.4294615977,0.0003451058
0.84375,0.28125,12.5463476028,0.3598682818,0.3604883552,-0.0006200734
0.875,0.28125,-5.8392190638,0.2960560065,0.2958182935,0.000237713
0.90625,0.28125,-24.1685508588,0.22939255,0.22829934,0.0010932101
0.9375,0.28125,-2.9768080642,0.1509280433,0.1508068583,0.000121185
0.96875,0.28125,18.2436030195,0.071010017,0.0718620241,-0.0008520071
1,0.28125,3.68E-14,1E-16,1E-16,0
0,0.3125,0,0,0,0
0.03125,0.3125,-1.608711441,0.0815637639,0.0814982737,6.54901935017E-05
0.0625,0.3125,-3.2019301113,0.1623420241,0.1622116744,0.0001303497
0.09375,0.3125,-4.7643124444,0.2415568419,0.2413628881,0.0001939538
0.125,0.3125,-6.2808118442,0.3184453352,0.3181896451,0.0002556901
0.15625,0.3125,-7.7368235924,0.3922670259,0.391952062,0.0003149639
0.1875,0.3125,-9.1183255001,0.4623109707,0.4619397663,0.0003712045
0.21875,0.3125,-10.4120129487,0.5279026082,0.527478738,0.0004238701
0.25,0.3125,-11.6054270208,0.5884102549,0.5879378012,0.0004724537
0.28125,0.3125,-12.6870744865,0.6432511892,0.642734702,0.0005164873
0.3125,0.3125,-13.6465384894,0.691897263,0.6913417162,0.0005555468
0.34375,0.3125,-14.4745788667,0.7338799878,0.7332907317,0.0005892561
0.375,0.3125,-15.1632211369,0.7687950472,0.7681777567,0.0006172905
0.40625,0.3125,-15.7058332985,0.79630619,0.7956668099,0.0006393801
0.4375,0.3125,-16.0971896998,0.8161484689,0.8154931568,0.0006553121
0.46875,0.3125,-16.3335213646,0.8281307919,0.8274658589,0.0006649331
0.5,0.3125,-16.4125522899,0.8321377627,0.8314696123,0.0006681504
0.53125,0.3125,-16.3335213646,0.8281307919,0.8274658589,0.0006649331
0.5625,0.3125,-16.0971896998,0.8161484689,0.8154931568,0.0006553121
0.59375,0.3125,-15.7058332985,0.79630619,0.7956668099,0.0006393801
0.625,0.3125,-15.1632211369,0.7687950472,0.7681777567,0.0006172905
0.65625,0.3125,-14.4745788667,0.7338799878,0.7332907317,0.0005892561
0.6875,0.3125,-13.6465384894,0.691897263,0.6913417162,0.0005555468
0.71875,0.3125,-12.6870744865,0.6432511892,0.642734702,0.0005164873
0.75,0.3125,-11.6054270208,0.5884102549,0.5879378012,0.0004724537
0.78125,0.3125,-10.4120129487,0.5279026082,0.527478738,0.0004238701
0.8125,0.3125,-9.1183255001,0.4623109707,0.4619397663,0.0003712045
0.84375,0.3125,-7.7368235924,0.3922670259,0.391952062,0.0003149639
0.875,0.3125,-6.2808118442,0.3184453352,0.3181896451,0.0002556901
0.90625,0.3125,-4.7643124444,0.2415568419,0.2413628881,0.0001939538
0.9375,0.3125,-3.2019301113,0.1623420241,0.1622116744,0.0001303497
0.96875,0.3125,-1.608711441,0.0815637639,0.0814982737,6.54901935186E-05
1,0.3125,-2E-15,1E-16,1E-16,0
0,0.34375,0,0,0,0
0.03125,0.34375,18.0328844735,0.0816937215,0.0825371503,-0.0008434288
0.0625,0.34375,-3.3962158212,0.1721925625,0.1720543035,0.000138259
0.09375,0.34375,-24.792608701,0.2610330949,0.2599144796,0.0011186153
0.125,0.34375,-6.661916973,0.3377678613,0.3374966565,0.0002712048
0.15625,0.34375,11.5329326572,0.4112497386,0.4118285562,-0.0005788176
0.1875,0.34375,-9.6716043916,0.4903629307,0.4899692023,0.0003937283
0.21875,0.34375,-30.7829986031,0.5647536596,0.5633911773,0.0013624824
0.25,0.34375,-12.3096174773,0.6241136276,0.6236125065,0.0005011211
0.28125,0.34375,6.2823119939,0.6774630401,0.6778281064,-0.0003650663
0.3125,0.34375,-14.4745788667,0.7338799878,0.7332907317,0.0005892561
0.34375,0.34375,-35.0920716202,0.78322927,0.7816913665,0.0015379035
0.375,0.34375,-16.0832903077,0.8154437517,0.8147890054,0.0006547463
0.40625,0.34375,3.0803818825,0.8398050642,0.8400397808,-0.0002347166
0.4375,0.34375,-17.0739299217,0.8656704695,0.8649753945,0.0006950749
0.46875,0.34375,-37.0638104473,0.8831989949,0.8815808224,0.0016181725
0.5,0.34375,-17.4084279841,0.8826299566,0.8819212643,0.0007086922
0.53125,0.34375,2.4146071571,0.8735607093,0.8737683224,-0.0002076131
